metodo,tipo,params,valor,tempo,rep,stdout,erro,timestamp
Pattern Search,default,"500,500,500,500,500,500,500,500,500,500",-1250.0,0.5732486248016357,0,-1250.00,,1764716852.8650408
Pattern Search,default,"500,250,500,500,500,500,500,500,500,500",-1000.0,1.3067936897277832,0,-1000.00,,1764716854.1718345
Pattern Search,default,"500,500,500,250,500,500,500,500,500,500",-1050.0,1.3759181499481201,0,-1050.00,,1764716854.256473
Pattern Search,default,"500,750,500,500,500,500,500,500,500,500",-1250.0,1.3924338817596436,0,-1250.00,,1764716854.2574747
Pattern Search,default,"500,500,500,750,500,500,500,500,500,500",-1250.0,1.3849201202392578,0,-1250.00,,1764716854.265475
Pattern Search,default,"500,500,250,500,500,500,500,500,500,500",-1500.0,1.4034340381622314,0,-1500.00,,1764716854.2684748
Pattern Search,default,"500,500,750,500,500,500,500,500,500,500",-1050.0,1.3879199028015137,0,-1050.00,,1764716854.2684748
Pattern Search,default,"750,500,500,500,500,500,500,500,500,500",-1000.0,1.409973382949829,0,-1000.00,,1764716854.2750142
Pattern Search,default,"250,500,500,500,500,500,500,500,500,500",-1450.0,1.8509323596954346,0,-1450.00,,1764716854.7159731
Pattern Search,default,"500,500,500,500,500,500,250,500,500,500",-1450.0,1.221564769744873,0,-1450.00,,1764716855.4900396
Pattern Search,default,"500,500,500,500,500,250,500,500,500,500",-1000.0,1.232564926147461,0,-1000.00,,1764716855.4900396
Pattern Search,default,"500,500,500,500,500,500,750,500,500,500",-1000.0,1.2993390560150146,0,-1000.00,,1764716855.5688124
Pattern Search,default,"500,500,500,500,500,500,500,250,500,500",-1300.0,1.341099739074707,0,-1300.00,,1764716855.616114
Pattern Search,default,"500,500,500,500,500,500,500,750,500,500",-1250.0,0.9313080310821533,0,-1250.00,,1764716855.6482832
Pattern Search,default,"500,500,500,500,500,750,500,500,500,500",-1250.0,1.3963370323181152,0,-1250.00,,1764716855.661812
Pattern Search,default,"500,500,500,500,250,500,500,500,500,500",-1500.0,1.4919862747192383,0,-1500.00,,1764716855.6638207
Pattern Search,default,"500,500,500,500,750,500,500,500,500,500",-1050.0,1.4863274097442627,0,-1050.00,,1764716855.7428005
Pattern Search,default,"500,500,500,500,500,500,500,500,750,500",-1250.0,0.8277926445007324,0,-1250.00,,1764716856.3178322
Pattern Search,default,"500,500,500,500,500,500,500,500,250,500",-1450.0,0.8748562335968018,0,-1450.00,,1764716856.3648958
Pattern Search,default,"500,500,500,500,500,500,500,500,500,250",-1000.0,0.8586330413818359,0,-1000.00,,1764716856.4274454
Pattern Search,default,"500,500,500,500,500,500,500,500,500,750",-1050.0,0.9364480972290039,0,-1050.00,,1764716856.552562
Pattern Search,default,"750,250,500,500,500,500,500,500,500,500",-750.0,1.3344120979309082,0,-750.00,,1764716857.886974
Pattern Search,default,"500,250,500,750,500,500,500,500,500,500",-1250.0,1.3554198741912842,0,-1250.00,,1764716857.9079819
Pattern Search,default,"500,250,250,500,500,500,500,500,500,500",-1250.0,1.357419729232788,0,-1250.00,,1764716857.9099817
